ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,FNS32134,32134.TXT,0.48556,0.42039,0.45063,3

ROUGE-1+StopWordRemoval,FNS32134,32134.TXT,0.59905,0.50138,0.54588,3

ROUGE-2+StopWordRemoval,FNS32134,32134.TXT,0.31530,0.23785,0.27115,3

ROUGE-SU4+StopWordRemoval,FNS32134,32134.TXT,0.40913,0.26094,0.31865,3

ROUGE-L+StopWordRemoval,FNS32376,32376.TXT,0.46209,0.43650,0.44893,4

ROUGE-1+StopWordRemoval,FNS32376,32376.TXT,0.56472,0.52371,0.54344,4

ROUGE-2+StopWordRemoval,FNS32376,32376.TXT,0.32890,0.27323,0.29849,4

ROUGE-SU4+StopWordRemoval,FNS32376,32376.TXT,0.42220,0.27543,0.33338,4

ROUGE-L+StopWordRemoval,FNS32135,32135.TXT,0.21940,0.32833,0.26303,4

ROUGE-1+StopWordRemoval,FNS32135,32135.TXT,0.40177,0.43139,0.41605,4

ROUGE-2+StopWordRemoval,FNS32135,32135.TXT,0.17113,0.14733,0.15834,4

ROUGE-SU4+StopWordRemoval,FNS32135,32135.TXT,0.23235,0.17854,0.20192,4

ROUGE-L+StopWordRemoval,FNS30991,30991.TXT,0.54027,0.40699,0.46426,4

ROUGE-1+StopWordRemoval,FNS30991,30991.TXT,0.66788,0.44229,0.53216,4

ROUGE-2+StopWordRemoval,FNS30991,30991.TXT,0.37849,0.24642,0.29850,4

ROUGE-SU4+StopWordRemoval,FNS30991,30991.TXT,0.46910,0.24002,0.31756,4

ROUGE-L+StopWordRemoval,FNS32136,32136.TXT,0.32891,0.40290,0.36216,4

ROUGE-1+StopWordRemoval,FNS32136,32136.TXT,0.30688,0.50821,0.38268,4

ROUGE-2+StopWordRemoval,FNS32136,32136.TXT,0.10857,0.19610,0.13976,4

ROUGE-SU4+StopWordRemoval,FNS32136,32136.TXT,0.18370,0.22873,0.20376,4

ROUGE-L+StopWordRemoval,FNS32378,32378.TXT,0.39533,0.43128,0.41252,3

ROUGE-1+StopWordRemoval,FNS32378,32378.TXT,0.47223,0.50569,0.48839,3

ROUGE-2+StopWordRemoval,FNS32378,32378.TXT,0.23163,0.30720,0.26412,3

ROUGE-SU4+StopWordRemoval,FNS32378,32378.TXT,0.30699,0.28565,0.29593,3

ROUGE-L+StopWordRemoval,FNS32139,32139.TXT,0.35150,0.46740,0.40125,3

ROUGE-1+StopWordRemoval,FNS32139,32139.TXT,0.38396,0.52844,0.44476,3

ROUGE-2+StopWordRemoval,FNS32139,32139.TXT,0.16046,0.22050,0.18575,3

ROUGE-SU4+StopWordRemoval,FNS32139,32139.TXT,0.25337,0.25078,0.25207,3

ROUGE-L+StopWordRemoval,FNS32810,32810.TXT,0.45060,0.51541,0.48083,4

ROUGE-1+StopWordRemoval,FNS32810,32810.TXT,0.45825,0.59816,0.51894,4

ROUGE-2+StopWordRemoval,FNS32810,32810.TXT,0.25805,0.29900,0.27702,4

ROUGE-SU4+StopWordRemoval,FNS32810,32810.TXT,0.34145,0.30280,0.32096,4

ROUGE-L+StopWordRemoval,FNS31601,31601.TXT,0.50947,0.43533,0.46949,4

ROUGE-1+StopWordRemoval,FNS31601,31601.TXT,0.58065,0.45696,0.51144,4

ROUGE-2+StopWordRemoval,FNS31601,31601.TXT,0.34237,0.28679,0.31212,4

ROUGE-SU4+StopWordRemoval,FNS31601,31601.TXT,0.41573,0.27359,0.33001,4

ROUGE-L+StopWordRemoval,FNS31843,31843.TXT,0.34410,0.31876,0.33095,3

ROUGE-1+StopWordRemoval,FNS31843,31843.TXT,0.32227,0.41365,0.36228,3

ROUGE-2+StopWordRemoval,FNS31843,31843.TXT,0.09402,0.09891,0.09640,3

ROUGE-SU4+StopWordRemoval,FNS31843,31843.TXT,0.17476,0.16085,0.16751,3

ROUGE-L+StopWordRemoval,FNS31844,31844.TXT,0.62177,0.49228,0.54950,3

ROUGE-1+StopWordRemoval,FNS31844,31844.TXT,0.71560,0.52460,0.60539,3

ROUGE-2+StopWordRemoval,FNS31844,31844.TXT,0.45301,0.31260,0.36993,3

